episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
159,-53.5432,0.664248,436,88,105,80,81,82,542.69
160,-42.9592,1.097089,989,201,180,278,137,193,507.46
161,-30.7039,0.696224,212,44,33,40,47,48,608.48
162,77.6191,0.731681,483,94,94,125,81,89,566.98
163,71.2397,0.650979,494,93,90,115,91,105,555.94
164,-63.586,0.702893,142,21,36,37,21,27,617.02
165,-27.3461,0.67329,55,7,11,16,8,13,107.23
166,116.1944,0.532478,570,104,98,141,113,114,470.62
167,149.9898,0.918365,666,133,126,188,117,102,494.09
168,-100.9608,0.661023,210,41,39,63,28,39,812.45
169,-1.3113,1.543606,157,36,35,24,33,29,123.1
170,177.2916,2.393289,999,188,151,270,186,204,561.69
171,7.6137,1.713927,648,120,115,195,108,110,556.03
172,-114.3564,0.792164,485,105,109,72,103,96,613.97
173,10.6335,0.96385,554,124,102,112,103,113,474.34
174,248.1686,0.501279,1358,279,229,384,221,245,418.06
175,-30.8961,0.495291,613,132,128,88,113,152,472.25
176,136.995,1.120774,2705,550,501,719,442,493,439.29
177,-56.6592,0.699047,56,11,16,12,7,10,109.02
178,-83.9614,1.928166,62,8,20,10,13,11,634.05
179,-82.9998,1.213403,686,121,126,201,114,124,646.34
180,-32.3809,1.877056,176,37,33,38,36,32,134.21
181,-5.6979,0.865323,714,118,120,135,195,146,565.5
182,287.9531,0.907255,1984,350,373,580,347,334,503.11
183,-119.4166,1.075062,810,196,169,133,136,176,463.65
184,43.9195,1.293891,773,149,177,204,126,117,714.66
185,-247.2861,1.070706,1451,281,276,313,328,253,516.61
186,26.5979,0.977134,2789,512,506,828,482,461,507.89
187,253.3549,0.565055,2251,396,407,697,373,378,380.67
188,325.15,1.138526,1547,300,236,484,304,223,406.12
189,-280.1481,0.498293,1917,387,356,534,319,321,457.42
190,-27.027,1.259212,236,41,46,53,47,49,748.59
191,-223.3362,1.351393,1618,314,275,456,295,278,397.22
192,-36.7028,1.655831,28,6,5,6,6,5,852.7
193,11.7822,1.614701,629,141,106,178,84,120,550.59
194,61.4432,1.423424,467,80,75,157,77,78,607.27
195,106.3215,1.406897,534,93,98,98,104,141,439.83
196,54.3687,1.284171,660,139,96,198,116,111,694.84
197,-13.3,0.731247,3,0,0,1,1,1,120.43
198,400.7796,1.885815,3425,590,605,1035,566,629,322.15
199,-259.2241,0.908638,683,162,144,135,143,99,547.96
200,569.784,1.417688,3366,575,604,1035,594,558,348.02
201,127.2527,1.305013,662,107,112,192,131,120,392.84
202,-167.441,0.683164,281,37,86,60,49,49,85.04
203,-91.4914,1.011431,1138,255,210,275,200,198,519.91
204,-19.9778,1.790591,998,174,183,258,191,192,506.33
205,-37.8646,1.395432,1412,275,264,328,277,268,359.28
